1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,318
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,405
3,Venusaur,Grass,Poison,80,82,83,100,100,80,525
4,Charmander,Fire,---,39,52,43,60,50,65,309
5,Charmeleon,Fire,---,58,64,58,80,65,80,405
6,Charizard,Fire,Flying,78,84,78,109,85,100,534
7,Squirtle,Water,---,44,48,65,60,54,43,314
8,Wartortle,Water,---,59,63,80,65,80,58,405
9,Blastoise,Water,---,79,83,100,85,105,78,530
10,Caterpie,Bug,---,45,30,35,20,20,45,195
11,Metapod,Bug,---,50,20,55,25,25,30,205
12,Butterfree,Bug,Flying,60,45,50,80,80,70,385
13,Weedle,Bug,Poison,40,35,30,20,20,50,195
14,Kakuna,Bug,Poison,45,25,50,25,25,35,205
15,Beedrill,Bug,Poison,65,80,40,40,80,75,380
16,Pidgey,Normal,Flying,40,45,40,35,35,56,251
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,349
18,Pidgeot,Normal,Flying,83,80,75,70,70,91,469
19,Rattata,Normal,---,30,56,35,25,35,72,253
20,Raticate,Normal,---,55,81,60,50,70,97,413
21,Spearow,Normal,Flying,40,60,30,31,31,70,262
22,Fearow,Normal,Flying,65,90,65,61,61,100,442
23,Ekans,Poison,---,30,60,44,40,54,55,283
24,Arbok,Poison,---,60,85,69,65,79,80,438
25,Pikachu,Electric,---,35,55,30,50,40,90,300
26,Raichu,Electric,---,60,90,55,90,80,100,475
27,Sandshrew,Ground,---,50,75,85,20,30,40,300
28,Sandslash,Ground,---,75,100,110,45,55,65,450
29,Nidoran ?,Poison,---,55,47,52,40,40,41,275
30,Nidorina,Poison,---,70,62,67,55,55,56,365
31,Nidoqueen,Poison,Ground,90,82,87,75,85,76,495
32,Nidoran ?,Poison,---,46,57,40,40,40,50,273
33,Nidorino,Poison,---,61,72,57,55,55,65,365
34,Nidoking,Poison,Ground,81,92,77,85,75,85,495
35,Clefairy,Normal,---,70,45,48,60,65,35,323
36,Clefable,Normal,---,95,70,73,85,90,60,473
37,Vulpix,Fire,---,38,41,40,50,65,65,299
38,Ninetales,Fire,---,73,76,75,81,100,100,505
39,Jigglypuff,Normal,---,115,45,20,45,25,20,270
40,Wigglytuff,Normal,---,140,70,45,75,50,45,425
41,Zubat,Poison,Flying,40,45,35,30,40,55,245
42,Golbat,Poison,Flying,75,80,70,65,75,90,455
43,Oddish,Grass,Poison,45,50,55,75,65,30,320
44,Gloom,Grass,Poison,60,65,70,85,75,40,395
45,Vileplume,Grass,Poison,75,80,85,100,90,50,480
46,Paras,Bug,Grass,35,70,55,45,55,25,285
47,Parasect,Bug,Grass,60,95,80,60,80,30,405
48,Venonat,Bug,Poison,60,55,50,40,55,45,305
49,Venomoth,Bug,Poison,70,65,60,90,75,90,450
50,Diglett,Ground,---,10,55,25,35,45,95,265
51,Dugtrio,Ground,---,35,80,50,50,70,120,405
52,Meowth,Normal,---,40,45,35,40,40,90,290
53,Persian,Normal,---,65,70,60,65,65,115,440
54,Psyduck,Water,---,50,52,48,65,50,55,320
55,Golduck,Water,---,80,82,78,95,80,85,500
56,Mankey,Fighting,---,40,80,35,35,45,70,305
57,Primeape,Fighting,---,65,105,60,60,70,95,455
58,Growlithe,Fire,---,55,70,45,70,50,60,350
59,Arcanine,Fire,---,90,110,80,100,80,95,555
60,Poliwag,Water,---,40,50,40,40,40,90,300
61,Poliwhirl,Water,---,65,65,65,50,50,90,385
62,Poliwrath,Water,Fighting,90,85,95,70,90,70,500
63,Abra,Psychic,---,25,20,15,105,55,90,310
64,Kadabra,Psychic,---,40,35,30,120,70,105,400
65,Alakazam,Psychic,---,55,50,45,135,85,120,490
66,Machop,Fighting,---,70,80,50,35,35,35,305
67,Machoke,Fighting,---,80,100,70,50,60,45,405
68,Machamp,Fighting,---,90,130,80,65,85,55,505
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,300
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,390
71,Victreebel,Grass,Poison,80,105,65,100,60,70,480
72,Tentacool,Water,Poison,40,40,35,50,100,70,335
73,Tentacruel,Water,Poison,80,70,65,80,120,100,515
74,Geodude,Rock,Ground,40,80,100,30,30,20,300
75,Graveler,Rock,Ground,55,95,115,45,45,35,390
76,Golem,Rock,Ground,80,110,130,55,65,45,485
77,Ponyta,Fire,---,50,85,55,65,65,90,410
78,Rapidash,Fire,---,65,100,70,80,80,105,500
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,315
80,Slowbro,Water,Psychic,95,75,110,100,80,30,490
81,Magnemite,Electric,Steel,25,35,70,95,55,45,325
82,Magneton,Electric,Steel,50,60,95,120,70,70,465
83,Farfetch'd,Normal,Flying,52,65,55,58,62,60,352
84,Doduo,Normal,Flying,35,85,45,35,35,75,310
85,Dodrio,Normal,Flying,60,110,70,60,60,100,460
86,Seel,Water,---,65,45,55,45,70,45,325
87,Dewgong,Water,Ice,90,70,80,70,95,70,475
88,Grimer,Poison,---,80,80,50,40,50,25,325
89,Muk,Poison,---,105,105,75,65,100,50,500
90,Shellder,Water,---,30,65,100,45,25,40,305
91,Cloyster,Water,Ice,50,90,180,85,45,70,520
92,Gastly,Ghost,Poison,30,35,30,100,35,80,310
93,Haunter,Ghost,Poison,45,50,45,115,55,95,405
94,Gengar,Ghost,Poison,60,65,60,130,75,110,500
95,Onix,Rock,Ground,35,45,160,30,45,70,385
96,Drowzee,Psychic,---,60,48,45,43,90,42,328
97,Hypno,Psychic,---,85,73,70,73,115,67,483
98,Krabby,Water,---,30,105,90,25,25,50,325
99,Kingler,Water,---,55,130,115,50,50,75,475
100,Voltorb,Electric,---,40,30,50,55,55,100,330
101,Electrode,Electric,---,60,50,70,80,80,140,480
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,325
103,Exeggutor,Grass,Psychic,95,95,85,125,65,55,520
104,Cubone,Ground,---,50,50,95,40,50,35,320
105,Marowak,Ground,---,60,80,110,50,80,45,425
106,Hitmonlee,Fighting,---,50,120,53,35,110,87,455
107,Hitmonchan,Fighting,---,50,105,79,35,110,76,455
108,Lickitung,Normal,---,90,55,75,60,75,30,385
109,Koffing,Poison,---,40,65,95,60,45,35,340
110,Weezing,Poison,---,65,90,120,85,70,60,490
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,345
112,Rhydon,Ground,Rock,105,130,120,45,45,40,485
113,Chansey,Normal,---,250,5,5,35,105,50,450
114,Tangela,Grass,---,65,55,115,100,40,60,435
115,Kangaskhan,Normal,---,105,95,80,40,80,90,490
116,Horsea,Water,---,30,40,70,70,25,60,295
117,Seadra,Water,---,55,65,95,95,45,85,440
118,Goldeen,Water,---,45,67,60,35,50,63,320
119,Seaking,Water,---,80,92,65,65,80,68,450
120,Staryu,Water,---,30,45,55,70,55,85,340
121,Starmie,Water,Psychic,60,75,85,100,85,115,520
122,Mr. Mime,Psychic,---,40,45,65,100,120,90,460
123,Scyther,Bug,Flying,70,110,80,55,80,105,500
124,Jynx,Ice,Psychic,65,50,35,115,95,95,455
125,Electabuzz,Electric,---,65,83,57,95,85,105,490
126,Magmar,Fire,---,65,95,57,100,85,93,495
127,Pinsir,Bug,---,65,125,100,55,70,85,500
128,Tauros,Normal,---,75,100,95,40,70,110,490
129,Magikarp,Water,---,20,10,55,15,20,80,200
130,Gyarados,Water,Flying,95,125,79,60,100,81,540
131,Lapras,Water,Ice,130,85,80,85,95,60,535
132,Ditto,Normal,---,48,48,48,48,48,48,288
133,Eevee,Normal,---,55,55,50,45,65,55,325
134,Vaporeon,Water,---,130,65,60,110,95,65,525
135,Jolteon,Electric,---,65,65,60,110,95,130,525
136,Flareon,Fire,---,65,130,60,95,110,65,525
137,Porygon,Normal,---,65,60,70,85,75,40,395
138,Omanyte,Rock,Water,35,40,100,90,55,35,355
139,Omastar,Rock,Water,70,60,125,115,70,55,495
140,Kabuto,Rock,Water,30,80,90,55,45,55,355
141,Kabutops,Rock,Water,60,115,105,65,70,80,495
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,515
143,Snorlax,Normal,---,160,110,65,65,110,30,540
144,Articuno,Ice,Flying,90,85,100,95,125,85,580
145,Zapdos,Electric,Flying,90,90,85,125,90,100,580
146,Moltres,Fire,Flying,90,100,90,125,85,90,580
147,Dratini,Dragon,---,41,64,45,50,50,50,300
148,Dragonair,Dragon,---,61,84,65,70,70,70,420
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,600
150,Mewtwo,Psychic,---,106,110,90,154,90,130,680
151,Mew,Psychic,---,100,100,100,100,100,100,600
152,Chikorita,Grass,---,45,49,65,49,65,45,318
153,Bayleef,Grass,---,60,62,80,63,80,69,414
154,Meganium,Grass,---,80,82,100,83,100,80,525
155,Cyndaquil,Fire,---,39,52,43,60,50,65,309
156,Quilava,Fire,---,58,64,58,80,65,80,405
157,Typhlosion,Fire,---,78,84,78,109,85,100,534
158,Totodile,Water,---,50,65,64,44,48,43,314
159,Croconaw,Water,---,65,80,80,59,63,58,405
160,Feraligatr,Water,---,85,105,100,79,83,78,530
161,Sentret,Normal,---,35,46,34,35,45,20,215
162,Furret,Normal,---,85,76,64,45,55,90,415
163,Hoothoot,Normal,Flying,60,30,30,36,56,50,262
164,Noctowl,Normal,Flying,100,50,50,76,96,70,442
165,Ledyba,Bug,Flying,40,20,30,40,80,55,265
166,Ledian,Bug,Flying,55,35,50,55,110,85,390
167,Spinarak,Bug,Poison,40,60,40,40,40,30,250
168,Ariados,Bug,Poison,70,90,70,60,60,40,390
169,Crobat,Poison,Flying,85,90,80,70,80,130,535
170,Chinchou,Water,Electric,75,38,38,56,56,67,330
171,Lanturn,Water,Electric,125,58,58,76,76,67,460
172,Pichu,Electric,---,20,40,15,35,35,60,205
173,Cleffa,Normal,---,50,25,28,45,55,15,218
174,Igglybuff,Normal,---,90,30,15,40,20,15,210
175,Togepi,Normal,---,35,20,65,40,65,20,245
176,Togetic,Normal,Flying,55,40,85,80,105,40,405
177,Natu,Psychic,Flying,40,50,45,70,45,70,320
178,Xatu,Psychic,Flying,65,75,70,95,70,95,470
179,Mareep,Electric,---,55,40,40,65,45,35,280
180,Flaaffy,Electric,---,70,55,55,80,60,45,365
181,Ampharos,Electric,---,90,75,75,115,90,55,500
182,Bellossom,Grass,---,75,80,85,90,100,50,480
183,Marill,Water,---,70,20,50,20,50,40,250
184,Azumarill,Water,---,100,50,80,50,80,50,410
185,Sudowoodo,Rock,---,70,100,115,30,65,30,410
186,Politoed,Water,---,90,75,75,90,100,70,500
187,Hoppip,Grass,Flying,35,35,40,35,55,50,250
188,Skiploom,Grass,Flying,55,45,50,45,65,80,340
189,Jumpluff,Grass,Flying,75,55,70,55,85,110,450
190,Aipom,Normal,---,55,70,55,40,55,85,360
191,Sunkern,Grass,---,30,30,30,30,30,30,180
192,Sunflora,Grass,---,75,75,55,105,85,30,425
193,Yanma,Bug,Flying,65,65,45,75,45,95,390
194,Wooper,Water,Ground,55,45,45,25,25,15,210
195,Quagsire,Water,Ground,95,85,85,65,65,35,430
196,Espeon,Psychic,---,65,65,60,130,95,110,525
197,Umbreon,Dark,---,95,65,110,60,130,65,525
198,Murkrow,Dark,Flying,60,85,42,85,42,91,405
199,Slowking,Water,Psychic,95,75,80,100,110,30,490
200,Misdreavus,Ghost,---,60,60,60,85,85,85,435
201,Unown,Psychic,---,48,72,48,72,48,48,336
202,Wobbuffet,Psychic,---,190,33,58,33,58,33,405
203,Girafarig,Normal,Psychic,70,80,65,90,65,85,455
204,Pineco,Bug,---,50,65,90,35,35,15,290
205,Forretress,Bug,Steel,75,90,140,60,60,40,465
206,Dunsparce,Normal,---,100,70,70,65,65,45,415
207,Gligar,Ground,Flying,65,75,105,35,65,85,430
208,Steelix,Steel,Ground,75,85,200,55,65,30,510
209,Snubbull,Normal,---,60,80,50,40,40,30,300
210,Granbull,Normal,---,90,120,75,60,60,45,450
211,Qwilfish,Water,Poison,65,95,75,55,55,85,430
212,Scizor,Bug,Steel,70,130,100,55,80,65,500
213,Shuckle,Bug,Rock,20,10,230,10,230,5,505
214,Heracross,Bug,Fighting,80,125,75,40,95,85,500
215,Sneasel,Dark,Ice,55,95,55,35,75,115,430
216,Teddiursa,Normal,---,60,80,50,50,50,40,330
217,Ursaring,Normal,---,90,130,75,75,75,55,500
218,Slugma,Fire,---,40,40,40,70,40,20,250
219,Magcargo,Fire,Rock,50,50,120,80,80,30,410
220,Swinub,Ice,Ground,50,50,40,30,30,50,250
221,Piloswine,Ice,Ground,100,100,80,60,60,50,450
222,Corsola,Water,Rock,55,55,85,65,85,35,380
223,Remoraid,Water,---,35,65,35,65,35,65,300
224,Octillery,Water,---,75,105,75,105,75,45,480
225,Delibird,Ice,Flying,45,55,45,65,45,75,330
226,Mantine,Water,Flying,65,40,70,80,140,70,465
227,Skarmory,Steel,Flying,65,80,140,40,70,70,465
228,Houndour,Dark,Fire,45,60,30,80,50,65,330
229,Houndoom,Dark,Fire,75,90,50,110,80,95,500
230,Kingdra,Water,Dragon,75,95,95,95,95,85,540
231,Phanpy,Ground,---,90,60,60,40,40,40,330
232,Donphan,Ground,---,90,120,120,60,60,50,500
233,Porygon2,Normal,---,85,80,90,105,95,60,515
234,Stantler,Normal,---,73,95,62,85,65,85,465
235,Smeargle,Normal,---,55,20,35,20,45,75,250
236,Tyrogue,Fighting,---,35,35,35,35,35,35,210
237,Hitmontop,Fighting,---,50,95,95,35,110,70,455
238,Smoochum,Ice,Psychic,45,30,15,85,65,65,305
239,Elekid,Electric,---,45,63,37,65,55,95,360
240,Magby,Fire,---,45,75,37,70,55,83,365
241,Miltank,Normal,---,95,80,105,40,70,100,490
242,Blissey,Normal,---,255,10,10,75,135,55,540
243,Raikou,Electric,---,90,85,75,115,100,115,580
244,Entei,Fire,---,115,115,85,90,75,100,580
245,Suicune,Water,---,100,75,115,90,115,85,580
246,Larvitar,Rock,Ground,50,64,50,45,50,41,300
247,Pupitar,Rock,Ground,70,84,70,65,70,51,410
248,Tyranitar,Rock,Dark,100,134,110,95,100,61,600
249,Lugia,Psychic,Flying,106,90,130,90,154,110,680
250,Ho-oh,Fire,Flying,106,130,90,110,154,90,680
251,Celebi,Psychic,Grass,100,100,100,100,100,100,600
